factor,MAP
5,0.004609539901142813
10,0.005239892641575881
15,0.005721960733413478
20,0.0059341913506029634
25,0.006079018957748862
30,0.006293332756463965
35,0.00622255354258509
40,0.006057017084441524
45,0.00622968812620686
50,0.006123556308521871
55,0.006100223081453946
60,0.005940381310647181
65,0.0061617283613266734
70,0.005993092748448513
75,0.0059049922729867204
80,0.005916898932488061
85,0.005753001238751042
90,0.00572662654388457
95,0.005581470273011014
100,0.005898871764977348
105,0.005631036254721221
110,0.005622316039397139
115,0.005641635470178893
120,0.005737347205523372
125,0.0054381277249486906
130,0.005575045770029508
135,0.005490560216052758
140,0.005509804502009935
145,0.0055476198066576774
150,0.005521977584071119
155,0.00522110833302972
160,0.005468597812754277
165,0.005358232077579821
170,0.005376946175052526
175,0.005501131726600354
180,0.00527669956340098
185,0.005376964391979697
190,0.0052281203319124205
195,0.005132709555385535
200,0.0051890412279423405
205,0.005326272755978188
210,0.0053041627196657795
215,0.005207284341943872
220,0.005180331259639794
225,0.0051809362134295255
230,0.005247898222027909
235,0.005212551690530845
240,0.005306988620492829
245,0.00516507610121325
250,0.0050610798387194745
255,0.00519325465138874
260,0.005019554353238369
265,0.005072655936896566
270,0.00511308119588055
275,0.004990236865595518
280,0.004933979199305335
285,0.0050183770843200875
290,0.0050303372560449875
295,0.004820516586512194
300,0.005122877348465528
305,0.004914529593398192
310,0.004969613785963256
315,0.004973915257890974
320,0.004987135813264359
325,0.004885434124555213
330,0.004857450267788837
335,0.004739774231549296
340,0.005042349421916182
345,0.004965110409759421
350,0.004908499790505342
355,0.004961883357015343
360,0.004899334778542895
365,0.004770037481327654
370,0.004909633794221597
375,0.0048107447231634385
380,0.004711983550114773
385,0.004834559180724067
390,0.00474853126024703
395,0.004724154734579377
400,0.004832654752796305
405,0.004703025376179553
410,0.004845501481643415
415,0.004860771061803969
420,0.0048856227456552685
425,0.004860303114487322
430,0.0048198175119320945
435,0.004845032395768821
440,0.004726134686851029
445,0.0048297984904239755
450,0.004978640273375358
455,0.004865044828821617
460,0.004791742570529878
465,0.004655467051651069
470,0.004670368118555769
475,0.004791764203130888
480,0.00466299064257175
485,0.004690338804483801
490,0.00491093061172442
495,0.004747516805115319
500,0.004762850144520966
